Motif_Orig,Motif_Dest,Duree_Moyenne
education,home,59.15346534653465
education,leisure,52.73684210526316
home,education,30.152073732718893
home,leisure,35.46677649643053
home,other,37.341671404206934
home,shop,34.08937899013349
home,work,63.07850834151129
leisure,home,35.15416178194607
leisure,leisure,36.630188679245286
leisure,other,29.874125874125873
leisure,shop,31.508474576271187
leisure,work,50.1328125
other,education,75.0
other,home,39.869421487603304
other,leisure,35.81481481481482
other,other,49.88
other,shop,47.517699115044245
other,work,71.93837535014005
shop,home,38.729787234042554
shop,leisure,24.755555555555556
shop,other,46.09811320754717
shop,shop,48.512953367875646
shop,work,45.55801104972376
work,home,67.7099411379987
work,leisure,44.51149425287356
work,other,67.96917808219177
work,shop,43.911764705882355
