AgentId,Motif_Orig,Motif_Dest,New_Trip,Duree_trajet
1001108:car,home,leisure,1,2
1001108:car,leisure,home,2,3
1001110:car,home,shop,3,37
1001110:car,home,work,4,31
1001110:car,shop,work,5,15
1001110:car,work,home,6,20
1001110:car,work,home,7,18
1001115:car,home,work,8,70
1001115:car,other,home,9,14
1001115:car,shop,work,10,49
1001115:car,work,other,11,92
1001115:car,work,shop,12,51
1002497:car,home,leisure,13,7
1002497:car,leisure,home,14,56
1002498:car,home,leisure,15,71
1002498:car,home,work,16,224
1002498:car,home,work,17,50
1002498:car,leisure,home,18,36
1002498:car,work,home,19,134
1003486:car,home,other,20,22
1003486:car,other,home,21,81
1003487:car,home,leisure,22,64
1003487:car,leisure,home,23,39
1005424:car,home,work,24,417
1005424:car,home,work,25,320
1005424:car,home,work,26,96
1005424:car,work,home,27,138
1005424:car,work,home,28,67
1006937:car,home,work,29,1
1006937:car,work,home,30,15
1007039:car,home,shop,31,25
1007039:car,shop,home,32,56
1007040:car,home,other,33,20
1007040:car,other,home,34,22
1007906:car,home,work,35,54
1007906:car,home,work,36,31
1007906:car,work,home,37,33
1007906:car,work,home,38,74
1009657:car,home,other,39,22
1009657:car,home,shop,40,32
1009657:car,home,shop,41,33
1009657:car,other,home,42,19
1009657:car,other,home,43,31
1009657:car,shop,home,44,7
1009657:car,shop,other,45,42
1010307:car,home,work,46,117
1010307:car,work,home,47,129
1010308:car,home,other,48,2
1010308:car,home,other,49,195
1010308:car,other,home,50,11
1010308:car,other,home,51,5
1010308:car,other,work,52,195
1010308:car,other,work,53,194
1010308:car,work,other,54,154
1010308:car,work,other,55,131
1010308:car,work,other,56,108
1012884:car,home,work,57,89
1012884:car,other,home,58,34
1012884:car,work,other,59,104
1013486:car,home,leisure,60,108
1013486:car,leisure,home,61,150
1013983:car,home,leisure,62,99
1013983:car,home,shop,63,3
1013983:car,leisure,home,64,47
1013983:car,shop,home,65,15
1014631:car,home,shop,66,18
1014631:car,shop,home,67,62
1014816:car,leisure,home,68,25
1014816:car,leisure,leisure,69,17
101535:car,home,shop,70,12
101535:car,shop,home,71,19
101594:car,home,leisure,72,1
101594:car,leisure,home,73,1
101595:car,home,leisure,74,14
101595:car,leisure,home,75,28
101596:car,home,leisure,76,1
101596:car,home,leisure,77,2
101596:car,leisure,home,78,2
101596:car,leisure,home,79,1
1016629:car,home,shop,80,138
1016629:car,shop,home,81,62
1017077:car,home,other,82,102
1017077:car,other,home,83,188
1017078:car,home,shop,84,3
1017078:car,shop,home,85,14
1017078:car,shop,shop,86,9
1017395:car,home,leisure,87,1
1017395:car,home,leisure,88,2
1017395:car,leisure,home,89,1
1017395:car,leisure,home,90,1
1017545:car,home,work,91,10
1017545:car,home,work,92,10
1017545:car,work,home,93,11
1017545:car,work,home,94,83
1017547:car,home,leisure,95,18
1017547:car,home,other,96,14
1017547:car,leisure,home,97,34
1017547:car,other,home,98,40
1017547:car,other,other,99,76
101910:car,home,other,100,26
101910:car,other,home,101,28
1019931:car,home,work,102,115
1019931:car,home,work,103,112
1019931:car,home,work,104,15
1019931:car,work,home,105,257
1019932:car,home,leisure,106,62
1019932:car,leisure,home,107,70
102077:car,home,shop,108,8
102077:car,shop,home,109,3
102140:car,home,work,110,24
102140:car,home,work,111,14
102140:car,shop,home,112,20
102140:car,work,home,113,16
102140:car,work,shop,114,15
1022825:car,home,work,115,307
1022825:car,home,work,116,1
1022825:car,home,work,117,67
1022825:car,work,home,118,88
1022826:car,home,leisure,119,23
1022826:car,home,shop,120,9
1022826:car,leisure,shop,121,14
1022826:car,shop,home,122,120
1023595:car,home,work,123,1
1023595:car,work,home,124,1
1023596:car,home,leisure,125,8
1023596:car,home,leisure,126,18
1023596:car,home,shop,127,17
1023596:car,leisure,home,128,23
1023596:car,leisure,leisure,129,19
1023596:car,leisure,leisure,130,11
1023596:car,leisure,other,131,32
1023596:car,other,home,132,16
1023596:car,shop,home,133,18
1024296:car,home,work,134,44
1024296:car,home,work,135,186
1024296:car,work,home,136,47
1024296:car,work,home,137,65
1024297:car,home,leisure,138,30
1024297:car,home,leisure,139,159
1024297:car,home,leisure,140,32
1024297:car,home,other,141,4
1024297:car,home,shop,142,318
1024297:car,leisure,home,143,21
1024297:car,leisure,leisure,144,44
1024297:car,leisure,leisure,145,58
1024297:car,leisure,other,146,17
1024297:car,other,home,147,62
1024297:car,shop,home,148,68
1024956:car,home,other,149,3
1024956:car,other,work,150,63
1024956:car,work,home,151,115
1024958:car,home,other,152,27
1024958:car,home,work,153,2
1024958:car,home,work,154,2
1024958:car,home,work,155,2
1024958:car,home,work,156,2
1024958:car,other,home,157,18
1024958:car,work,home,158,3
1024958:car,work,home,159,3
1024958:car,work,home,160,7
1024958:car,work,home,161,9
1025066:car,home,work,162,150
1025066:car,home,work,163,142
1025066:car,home,work,164,173
1025066:car,work,home,165,96
1025066:car,work,home,166,187
1025067:car,home,work,167,78
1025067:car,work,home,168,77
1026845:car,home,leisure,169,30
1026845:car,home,shop,170,15
1026845:car,leisure,shop,171,26
1026845:car,shop,home,172,15
1026845:car,shop,home,173,8
1026845:car,shop,shop,174,6
1026845:car,shop,shop,175,7
1027564:car,home,work,176,75
1027564:car,other,home,177,6
1027564:car,shop,work,178,38
1027564:car,work,other,179,243
1027564:car,work,shop,180,10
1027565:car,home,work,181,103
1027565:car,work,home,182,45
1027641:car,home,leisure,183,242
1027641:car,home,leisure,184,57
1027641:car,home,work,185,15
1027641:car,home,work,186,14
1027641:car,leisure,home,187,130
1027641:car,work,home,188,8
1027641:car,work,home,189,37
1027642:car,home,work,190,3
1027642:car,work,home,191,3
1030624:car,home,work,192,25
1030624:car,home,work,193,51
1030624:car,work,home,194,106
1030624:car,work,home,195,86
103182:car,home,leisure,196,5
103182:car,leisure,home,197,3
1031978:car,home,leisure,198,7
1031978:car,home,other,199,16
1031978:car,home,shop,200,28
1031978:car,leisure,home,201,8
1031978:car,other,home,202,82
1031978:car,shop,home,203,13
1031981:car,home,leisure,204,9
1031981:car,home,work,205,8
1031981:car,work,home,206,7
1032598:car,home,work,207,6
1032598:car,home,work,208,16
1032598:car,other,work,209,15
1032598:car,shop,home,210,8
1032598:car,work,home,211,6
1032598:car,work,other,212,14
1032598:car,work,shop,213,35
1033252:car,home,work,214,205
1033252:car,home,work,215,227
1033252:car,home,work,216,152
1033252:car,work,home,217,234
1033252:car,work,home,218,216
1033252:car,work,home,219,130
1035347:car,leisure,home,220,13
1035349:car,home,leisure,221,26
1035349:car,home,leisure,222,59
1035349:car,home,work,223,39
1035349:car,leisure,home,224,16
1035349:car,leisure,home,225,36
1035349:car,leisure,home,226,78
1035349:car,work,home,227,207
1035974:car,home,other,228,79
1035974:car,other,work,229,109
1035974:car,work,home,230,88
1035975:car,home,leisure,231,19
1035975:car,home,shop,232,5
1035975:car,leisure,home,233,35
1035975:car,shop,home,234,29
1035976:car,home,other,235,43
1035976:car,home,work,236,163
1035976:car,other,home,237,34
1035976:car,work,home,238,220
1036240:car,home,other,239,5
1036240:car,other,home,240,22
1036241:car,home,shop,241,9
1036241:car,shop,home,242,9
1036241:car,shop,shop,243,35
1036296:car,education,home,244,6
1036296:car,home,education,245,6
1036297:car,home,work,246,39
1036297:car,home,work,247,41
1036297:car,work,home,248,50
1036297:car,work,home,249,42
1037175:car,home,work,250,50
1037175:car,home,work,251,106
1037175:car,work,home,252,135
1037175:car,work,home,253,59
1037680:car,home,other,254,11
1037680:car,home,shop,255,80
1037680:car,home,work,256,9
1037680:car,other,home,257,19
1037680:car,shop,home,258,107
1037680:car,work,home,259,12
1037779:car,home,shop,260,38
1037779:car,shop,home,261,35
1038243:car,home,work,262,110
1038243:car,home,work,263,68
1038243:car,work,home,264,37
1038243:car,work,home,265,136
1038412:car,home,other,266,14
1038412:car,home,work,267,173
1038412:car,other,home,268,30
1038412:car,work,home,269,77
1039091:car,home,other,270,39
1039091:car,other,other,271,217
1039091:car,other,work,272,73
1039091:car,work,home,273,171
1039093:car,home,leisure,274,12
1039093:car,home,leisure,275,36
1039093:car,home,shop,276,58
1039093:car,leisure,home,277,13
1039093:car,leisure,leisure,278,14
1039093:car,leisure,leisure,279,10
1039093:car,leisure,other,280,30
1039093:car,other,home,281,8
1039093:car,shop,home,282,17
1039400:car,shop,home,283,91
1039400:car,shop,shop,284,140
1040176:car,home,other,285,5
1040176:car,home,work,286,60
1040176:car,other,home,287,19
1040176:car,work,home,288,246
104072:car,home,leisure,289,2
104072:car,home,other,290,30
104072:car,home,shop,291,8
104072:car,leisure,other,292,9
104072:car,other,home,293,12
104072:car,other,home,294,17
104072:car,other,other,295,72
104072:car,shop,home,296,11
1041779:car,home,other,297,118
1041779:car,other,shop,298,21
1041779:car,shop,home,299,23
1041780:car,leisure,home,300,81
1041780:car,leisure,home,301,3
1041780:car,leisure,home,302,215
1041780:car,leisure,home,303,18
1041781:car,home,leisure,304,117
1041781:car,leisure,home,305,71
1042376:car,home,work,306,2
1042376:car,work,home,307,2
1042377:car,home,leisure,308,11
1042377:car,home,leisure,309,54
1042377:car,home,shop,310,10
1042377:car,leisure,home,311,4
1042377:car,leisure,leisure,312,5
1042377:car,leisure,leisure,313,18
1042377:car,leisure,other,314,46
1042377:car,other,home,315,5
1042377:car,shop,home,316,30
10444:car,home,leisure,317,75
10444:car,leisure,home,318,61
1044634:car,home,work,319,55
1044634:car,leisure,work,320,135
1044634:car,work,home,321,87
1044634:car,work,leisure,322,237
1044635:car,home,leisure,323,6
1044635:car,home,leisure,324,12
1044635:car,home,work,325,157
1044635:car,leisure,home,326,19
1044635:car,leisure,home,327,7
1044635:car,work,home,328,163
1044636:car,home,work,329,23
1044636:car,work,home,330,20
1045961:car,home,work,331,49
1045961:car,work,home,332,75
1046092:car,home,work,333,229
1046092:car,work,home,334,218
104659:car,home,other,335,29
104659:car,other,work,336,63
104659:car,work,home,337,99
1047597:car,home,other,338,24
1047597:car,other,home,339,17
1047611:car,home,leisure,340,21
1047611:car,leisure,home,341,17
1047612:car,home,other,342,30
1047612:car,other,home,343,19
104951:car,home,shop,344,79
104951:car,home,work,345,36
104951:car,other,shop,346,45
104951:car,shop,home,347,102
104951:car,shop,other,348,39
104951:car,work,home,349,35
1051004:car,education,home,350,8
1051004:car,home,education,351,6
1051006:car,home,other,352,5
1051006:car,home,work,353,86
1051006:car,home,work,354,63
1051006:car,home,work,355,177
1051006:car,home,work,356,60
1051006:car,other,home,357,7
1051006:car,work,home,358,49
1051006:car,work,home,359,62
1051006:car,work,home,360,61
1051006:car,work,home,361,110
1051007:car,home,leisure,362,5
1051007:car,home,work,363,34
1051007:car,leisure,home,364,21
1051007:car,work,home,365,16
1051169:car,home,work,366,3
1051169:car,work,home,367,24
105117:car,home,work,368,25
105117:car,work,home,369,25
105119:car,education,home,370,6
105119:car,home,education,371,6
105119:car,home,shop,372,24
105119:car,shop,home,373,9
1051753:car,home,leisure,374,37
1051753:car,home,other,375,4
1051753:car,leisure,home,376,54
1051753:car,other,home,377,27
1051754:car,home,leisure,378,16
1051754:car,leisure,shop,379,14
1051754:car,shop,home,380,25
1051754:car,shop,shop,381,35
1051900:car,home,leisure,382,1
1051900:car,leisure,home,383,2
1052372:car,home,work,384,148
1052372:car,work,home,385,72
1052372:car,work,home,386,122
1052373:car,home,leisure,387,9
1052373:car,home,other,388,50
1052373:car,leisure,home,389,16
1052373:car,other,home,390,57
1052374:car,home,work,391,70
1052374:car,work,home,392,70
1052474:car,home,leisure,393,11
1052474:car,home,leisure,394,18
1052474:car,home,other,395,28
1052474:car,home,shop,396,15
1052474:car,leisure,home,397,31
1052474:car,leisure,leisure,398,53
1052474:car,leisure,other,399,16
1052474:car,other,home,400,71
1052474:car,shop,home,401,17
1053582:car,home,leisure,402,2
1053582:car,home,shop,403,22
1053582:car,home,shop,404,37
1053582:car,leisure,shop,405,2
1053582:car,shop,home,406,50
1053582:car,shop,home,407,37
1053587:car,home,shop,408,19
1053587:car,shop,home,409,4
1053587:car,shop,shop,410,19
1054085:car,home,shop,411,3
1054085:car,shop,home,412,5
1056233:car,home,leisure,413,32
1056233:car,home,shop,414,49
1056233:car,leisure,home,415,117
1056233:car,shop,home,416,27
1056405:car,home,leisure,417,72
1056405:car,home,leisure,418,35
1056405:car,home,work,419,9
1056405:car,leisure,home,420,54
1056405:car,leisure,home,421,34
1056405:car,work,home,422,16
1057175:car,home,other,423,0
1057175:car,home,other,424,23
1057175:car,other,home,425,35
105800:car,home,shop,426,7
105800:car,home,shop,427,14
105800:car,shop,home,428,18
105800:car,shop,home,429,11
1060029:car,home,work,430,27
1060029:car,work,home,431,295
1060955:car,home,work,432,201
1060955:car,work,home,433,43
