AgentId,Motif_Orig,Motif_Dest,Duree_trajet,Motif_OD
1005424:car,home,leisure,71,home_leisure
1005424:car,home,shop,2,home_shop
1005424:car,leisure,home,57,leisure_home
1005424:car,shop,home,4,shop_home
1009657:car,home,leisure,737,home_leisure
1009657:car,leisure,home,185,leisure_home
1009658:car,home,leisure,26,home_leisure
1009658:car,leisure,home,21,leisure_home
1013486:car,home,leisure,209,home_leisure
1013486:car,leisure,home,285,leisure_home
1014472:car,home,leisure,159,home_leisure
1014472:car,leisure,home,182,leisure_home
1014816:car,home,work,267,home_work
1014816:car,work,home,167,work_home
1017078:car,home,shop,7,home_shop
1017078:car,shop,home,5,shop_home
1025066:car,home,leisure,124,home_leisure
1025066:car,home,work,7,home_work
1025066:car,leisure,home,77,leisure_home
1025066:car,work,home,83,work_home
1025067:car,home,work,256,home_work
1025067:car,work,home,313,work_home
1027564:car,home,other,765,home_other
1027564:car,home,work,417,home_work
1027564:car,other,home,9,other_home
1027564:car,other,work,158,other_work
1027564:car,work,other,418,work_other
1030623:car,home,work,3,home_work
1030623:car,shop,home,3,shop_home
1030623:car,work,shop,1,work_shop
1030624:car,home,other,2,home_other
1030624:car,home,shop,72,home_shop
1030624:car,home,work,6,home_work
1030624:car,other,home,4,other_home
1030624:car,shop,home,208,shop_home
1030624:car,work,home,6,work_home
103181:car,home,leisure,62,home_leisure
103181:car,home,other,8,home_other
103181:car,leisure,home,106,leisure_home
103181:car,other,home,6,other_home
103181:car,other,other,11,other_other
1032598:car,home,shop,337,home_shop
1032598:car,home,work,122,home_work
1032598:car,other,shop,5,other_shop
1032598:car,shop,home,82,shop_home
1032598:car,shop,other,433,shop_other
1032598:car,work,home,90,work_home
1037680:car,education,home,135,education_home
1037680:car,home,education,99,home_education
1037681:car,home,shop,8,home_shop
1037681:car,shop,home,9,shop_home
1037682:car,leisure,shop,5,leisure_shop
1037682:car,shop,home,8,shop_home
1039503:car,home,shop,5,home_shop
1039503:car,shop,home,7,shop_home
1044634:car,home,leisure,9,home_leisure
1044634:car,leisure,leisure,12,leisure_leisure
1044634:car,leisure,other,46,leisure_other
1044634:car,other,shop,785,other_shop
1044634:car,shop,home,151,shop_home
1044636:car,home,shop,361,home_shop
1044636:car,home,work,443,home_work
1046092:car,home,other,394,home_other
1046092:car,other,home,405,other_home
1046092:car,other,other,3,other_other
1046092:car,other,shop,6,other_shop
1046092:car,shop,other,5,shop_other
1051753:car,home,shop,10,home_shop
1051753:car,shop,home,11,shop_home
1051754:car,home,leisure,10,home_leisure
1051754:car,leisure,home,13,leisure_home
1060955:car,home,education,208,home_education
1060955:car,home,work,144,home_work
1060955:car,leisure,home,840,leisure_home
1063528:car,home,work,20,home_work
1063528:car,work,home,59,work_home
1063529:car,home,work,781,home_work
1063529:car,leisure,home,10,leisure_home
1063529:car,shop,work,9,shop_work
1063529:car,work,home,3,work_home
1063529:car,work,leisure,10,work_leisure
1063529:car,work,shop,11,work_shop
1064303:car,home,leisure,361,home_leisure
1064303:car,home,shop,84,home_shop
1064303:car,leisure,home,9,leisure_home
1064303:car,leisure,leisure,268,leisure_leisure
1064303:car,leisure,other,3,leisure_other
1064303:car,other,home,32,other_home
1064303:car,shop,home,61,shop_home
1064304:car,education,home,51,education_home
1064304:car,home,other,536,home_other
1064304:car,other,education,8,other_education
1064304:car,other,home,89,other_home
1069663:car,home,work,376,home_work
1069663:car,work,home,357,work_home
1069665:car,home,work,87,home_work
1069665:car,work,home,201,work_home
1069666:car,home,other,9,home_other
1069666:car,home,shop,7,home_shop
1069666:car,other,home,15,other_home
1069666:car,shop,home,104,shop_home
1069667:car,home,work,5,home_work
1069667:car,work,home,139,work_home
1070891:car,home,work,39,home_work
1070891:car,work,home,38,work_home
1070892:car,home,leisure,99,home_leisure
1070892:car,leisure,home,125,leisure_home
1070892:car,leisure,other,161,leisure_other
1070892:car,other,home,6,other_home
1073807:car,home,leisure,21,home_leisure
1073807:car,home,shop,3,home_shop
1073807:car,leisure,home,28,leisure_home
1073807:car,shop,home,4,shop_home
1074416:car,home,work,391,home_work
1074416:car,work,home,526,work_home
1074418:car,home,leisure,334,home_leisure
1074418:car,leisure,home,357,leisure_home
1075044:car,home,work,17,home_work
1075044:car,work,home,221,work_home
1082812:car,home,leisure,110,home_leisure
1082813:car,leisure,home,314,leisure_home
1084006:car,home,leisure,259,home_leisure
1084006:car,home,shop,11,home_shop
1084006:car,leisure,home,2,leisure_home
1084006:car,leisure,leisure,452,leisure_leisure
1084006:car,leisure,other,2,leisure_other
1084006:car,other,home,11,other_home
1084006:car,shop,home,9,shop_home
1086056:car,home,other,50,home_other
1086056:car,home,shop,11,home_shop
1086056:car,other,home,26,other_home
1086056:car,shop,home,13,shop_home
1086058:car,home,other,623,home_other
1086058:car,home,work,697,home_work
1088005:car,home,other,30,home_other
1088005:car,other,home,12,other_home
1088005:car,work,home,44,work_home
1088006:car,home,shop,19,home_shop
1088006:car,home,work,372,home_work
1088006:car,shop,home,162,shop_home
1088006:car,work,home,431,work_home
1095256:car,home,work,86,home_work
1095256:car,leisure,work,397,leisure_work
1095256:car,work,home,453,work_home
1095256:car,work,leisure,123,work_leisure
1095257:car,home,other,418,home_other
1095257:car,home,shop,13,home_shop
1095257:car,other,home,420,other_home
1095257:car,shop,home,5,shop_home
1107923:car,shop,home,12,shop_home
1107923:car,shop,shop,13,shop_shop
1110076:car,home,shop,75,home_shop
1110076:car,other,home,25,other_home
1110076:car,other,other,14,other_other
1110076:car,other,shop,298,other_shop
1110076:car,shop,other,434,shop_other
1110389:car,home,leisure,8,home_leisure
1110389:car,leisure,home,11,leisure_home
1113218:car,home,shop,23,home_shop
1113218:car,shop,home,23,shop_home
1114063:car,home,other,1247,home_other
1114065:car,home,other,340,home_other
1114065:car,home,work,1263,home_work
1114065:car,other,home,91,other_home
1114065:car,work,home,761,work_home
1115556:car,home,work,52,home_work
1115556:car,work,home,16,work_home
1115557:car,home,leisure,12,home_leisure
1115557:car,leisure,home,66,leisure_home
1116619:car,home,work,4,home_work
1116619:car,work,home,4,work_home
1122866:car,home,work,320,home_work
1122866:car,work,home,296,work_home
1136521:car,home,shop,7,home_shop
1136521:car,shop,home,7,shop_home
1136732:car,home,work,35,home_work
1136732:car,work,home,28,work_home
1142035:car,home,work,42,home_work
1142035:car,work,home,200,work_home
1142037:car,leisure,home,44,leisure_home
11423:car,home,leisure,13,home_leisure
11423:car,home,work,445,home_work
11423:car,leisure,home,20,leisure_home
11423:car,work,home,312,work_home
11424:car,home,shop,312,home_shop
11424:car,other,home,54,other_home
11424:car,shop,home,3,shop_home
11424:car,shop,other,5,shop_other
11424:car,shop,shop,22,shop_shop
1142510:car,home,other,67,home_other
1142510:car,other,home,141,other_home
1142511:car,home,shop,4,home_shop
1142511:car,shop,home,6,shop_home
11426:car,home,other,53,home_other
11426:car,other,work,51,other_work
11426:car,work,home,123,work_home
1143427:car,home,work,49,home_work
1143427:car,leisure,work,143,leisure_work
1143427:car,work,home,216,work_home
1143427:car,work,leisure,3,work_leisure
1144332:car,home,shop,102,home_shop
1144332:car,shop,home,175,shop_home
1144332:car,shop,shop,63,shop_shop
1144333:car,home,leisure,69,home_leisure
1144333:car,leisure,home,22,leisure_home
1150695:car,home,leisure,33,home_leisure
1150695:car,home,work,584,home_work
1150695:car,leisure,home,102,leisure_home
1150695:car,work,home,257,work_home
1150696:car,home,other,492,home_other
1150696:car,other,home,491,other_home
1152127:car,home,leisure,554,home_leisure
1152127:car,leisure,home,658,leisure_home
1152136:car,home,leisure,2,home_leisure
1152136:car,leisure,home,2,leisure_home
115486:car,home,leisure,201,home_leisure
115486:car,leisure,home,174,leisure_home
1154948:car,home,work,2,home_work
1154948:car,work,home,1,work_home
1156495:car,home,leisure,140,home_leisure
1156495:car,home,shop,151,home_shop
1156495:car,shop,home,119,shop_home
1159625:car,home,other,31,home_other
1159625:car,home,work,72,home_work
1159625:car,other,home,32,other_home
1159625:car,work,home,42,work_home
1160685:car,home,work,324,home_work
1160685:car,work,home,193,work_home
11644:car,home,other,5,home_other
11644:car,other,home,89,other_home
1167859:car,home,work,53,home_work
1167859:car,leisure,home,296,leisure_home
1167859:car,work,home,188,work_home
1167861:car,home,shop,4,home_shop
1167861:car,shop,home,5,shop_home
1170003:car,home,work,39,home_work
1170003:car,work,home,379,work_home
1171018:car,home,work,3,home_work
1171018:car,shop,home,3,shop_home
1171019:car,home,work,604,home_work
1171019:car,work,home,232,work_home
1174185:car,home,work,287,home_work
1174185:car,work,home,331,work_home
1176250:car,home,work,5,home_work
1176250:car,work,home,59,work_home
1176312:car,home,other,1,home_other
1176312:car,leisure,work,142,leisure_work
1176312:car,other,work,175,other_work
1176312:car,work,home,176,work_home
1176312:car,work,leisure,90,work_leisure
1176315:car,home,shop,116,home_shop
1176315:car,shop,home,37,shop_home
1178864:car,home,work,123,home_work
1178864:car,leisure,work,2,leisure_work
1178864:car,work,home,297,work_home
1178864:car,work,leisure,67,work_leisure
1178865:car,home,shop,38,home_shop
1178865:car,home,work,383,home_work
1178865:car,leisure,home,539,leisure_home
1178865:car,leisure,leisure,181,leisure_leisure
1178865:car,work,leisure,71,work_leisure
1183261:car,home,shop,756,home_shop
1183261:car,shop,home,854,shop_home
1183261:car,shop,shop,91,shop_shop
1184468:car,home,other,83,home_other
1184469:car,home,other,90,home_other
1184469:car,leisure,work,225,leisure_work
1184469:car,other,work,361,other_work
1184469:car,work,leisure,461,work_leisure
1184510:car,home,leisure,194,home_leisure
1184510:car,leisure,home,229,leisure_home
1184511:car,home,work,294,home_work
1184511:car,work,home,306,work_home
1186513:car,home,work,1264,home_work
1186513:car,work,leisure,472,work_leisure
1186514:car,home,work,1228,home_work
1189143:car,home,other,98,home_other
1189143:car,home,work,952,home_work
1189143:car,work,home,883,work_home
1192586:car,home,work,57,home_work
1192586:car,work,home,78,work_home
1196346:car,home,shop,363,home_shop
1196346:car,shop,home,348,shop_home
1196347:car,home,other,163,home_other
1196347:car,leisure,work,103,leisure_work
1196347:car,other,home,163,other_home
1196347:car,other,work,198,other_work
1196347:car,work,leisure,390,work_leisure
1196347:car,work,other,99,work_other
1208570:car,home,work,80,home_work
1208570:car,work,home,472,work_home
1212232:car,home,work,530,home_work
1212232:car,work,home,745,work_home
1212234:car,education,home,239,education_home
1212234:car,home,education,65,home_education
1212235:car,home,leisure,41,home_leisure
1212235:car,leisure,home,69,leisure_home
1212895:car,home,work,43,home_work
1212895:car,work,home,134,work_home
1212896:car,home,other,144,home_other
1212896:car,home,work,97,home_work
1212896:car,other,home,369,other_home
1212896:car,work,home,297,work_home
1212897:car,home,other,105,home_other
1212897:car,leisure,work,100,leisure_work
1212897:car,other,work,145,other_work
1212897:car,work,home,326,work_home
1212897:car,work,leisure,3,work_leisure
1215643:car,home,work,1121,home_work
1215643:car,work,home,61,work_home
1215645:car,home,other,94,home_other
1215645:car,home,work,639,home_work
1215645:car,other,home,128,other_home
1215645:car,work,home,1017,work_home
1217156:car,home,other,50,home_other
1217156:car,home,work,39,home_work
1217156:car,other,home,88,other_home
1217156:car,shop,home,236,shop_home
1217156:car,work,shop,38,work_shop
1217157:car,home,work,540,home_work
1217157:car,work,home,904,work_home
1217825:car,home,other,238,home_other
1217825:car,leisure,shop,377,leisure_shop
1217825:car,other,leisure,164,other_leisure
1217825:car,shop,home,84,shop_home
121915:car,education,home,27,education_home
121915:car,home,other,468,home_other
121915:car,other,education,122,other_education
121915:car,other,home,82,other_home
121916:car,home,other,3,home_other
121916:car,leisure,work,3,leisure_work
121916:car,other,other,27,other_other
121916:car,other,work,5,other_work
121916:car,work,home,126,work_home
121916:car,work,leisure,4,work_leisure
121917:car,home,leisure,5,home_leisure
121917:car,leisure,shop,5,leisure_shop
121917:car,other,home,115,other_home
121917:car,shop,other,51,shop_other
121958:car,home,leisure,274,home_leisure
121958:car,home,shop,28,home_shop
121958:car,leisure,home,78,leisure_home
121958:car,leisure,leisure,440,leisure_leisure
121958:car,leisure,other,67,leisure_other
121958:car,other,home,26,other_home
121958:car,shop,home,29,shop_home
1220150:car,home,leisure,265,home_leisure
1220150:car,home,shop,3,home_shop
1220150:car,leisure,home,208,leisure_home
1220150:car,shop,home,3,shop_home
1220896:car,home,other,1138,home_other
1220896:car,other,home,397,other_home
1220896:car,other,work,1150,other_work
1220896:car,work,other,423,work_other
1220898:car,home,work,17,home_work
1220898:car,work,home,176,work_home
1222630:car,home,leisure,63,home_leisure
1222630:car,leisure,shop,62,leisure_shop
1222630:car,shop,home,75,shop_home
1225682:car,home,other,9,home_other
1225682:car,other,shop,85,other_shop
1225682:car,shop,home,207,shop_home
1225684:car,home,work,4,home_work
1225684:car,work,home,15,work_home
1229660:car,home,work,7,home_work
1229660:car,work,home,8,work_home
12297:car,home,leisure,7,home_leisure
12297:car,home,shop,7,home_shop
12297:car,shop,home,31,shop_home
12298:car,home,leisure,3,home_leisure
12298:car,leisure,home,5,leisure_home
123139:car,home,leisure,10,home_leisure
123139:car,leisure,shop,35,leisure_shop
123139:car,other,home,64,other_home
123139:car,shop,other,15,shop_other
123140:car,home,leisure,235,home_leisure
123140:car,home,shop,35,home_shop
123140:car,leisure,home,131,leisure_home
123140:car,shop,home,99,shop_home
123141:car,home,shop,110,home_shop
123141:car,shop,home,124,shop_home
123143:car,home,other,905,home_other
123143:car,other,home,922,other_home
123144:car,home,shop,4,home_shop
123144:car,shop,home,16,shop_home
123145:car,home,leisure,44,home_leisure
123145:car,leisure,home,91,leisure_home
1234291:car,home,work,349,home_work
1234291:car,work,home,281,work_home
1236132:car,home,leisure,895,home_leisure
1236132:car,home,shop,218,home_shop
1236132:car,leisure,home,50,leisure_home
1236132:car,leisure,leisure,871,leisure_leisure
1236132:car,leisure,other,5,leisure_other
1236132:car,other,home,38,other_home
1236132:car,shop,home,149,shop_home
1236133:car,home,leisure,289,home_leisure
1236133:car,leisure,home,62,leisure_home
1237373:car,home,work,518,home_work
1237373:car,work,home,577,work_home
1237374:car,home,leisure,59,home_leisure
1237374:car,home,work,474,home_work
1237374:car,leisure,home,129,leisure_home
1237374:car,work,home,298,work_home
1238002:car,home,leisure,3,home_leisure
1238002:car,leisure,home,4,leisure_home
1238932:car,home,other,177,home_other
1238932:car,leisure,work,63,leisure_work
1238932:car,other,home,308,other_home
1238932:car,other,other,9,other_other
1238932:car,other,work,375,other_work
1238932:car,work,leisure,69,work_leisure
1238932:car,work,other,149,work_other
1245761:car,home,shop,27,home_shop
1245761:car,shop,home,202,shop_home
1245762:car,home,leisure,5,home_leisure
1245762:car,leisure,shop,29,leisure_shop
1245762:car,shop,home,356,shop_home
1245762:car,shop,shop,18,shop_shop
1245763:car,home,work,726,home_work
1245763:car,work,home,651,work_home
1245764:car,home,leisure,367,home_leisure
1245764:car,home,shop,77,home_shop
1245764:car,shop,home,20,shop_home
1246894:car,home,work,534,home_work
1246894:car,work,home,390,work_home
1246895:car,home,leisure,75,home_leisure
1246895:car,leisure,home,97,leisure_home
1246895:car,leisure,leisure,8,leisure_leisure
124727:car,home,leisure,90,home_leisure
124727:car,home,work,456,home_work
124727:car,leisure,home,22,leisure_home
124727:car,work,home,276,work_home
1251685:car,home,work,596,home_work
1251685:car,work,home,281,work_home
