Motif_Orig,Motif_Dest,AgentId_Max,Nombre_Max_Points
education,home,1478389:car,501
education,leisure,1327345:car,457
home,education,2189816:car,475
home,leisure,809216:car,676
home,other,964130:car,683
home,shop,955935:car,716
home,work,1889940:car,756
leisure,home,788453:car,648
leisure,leisure,1115202:car,467
leisure,other,1679621:car,226
leisure,shop,131341:car,370
leisure,work,2324735:car,391
other,education,2284200:car,175
other,home,964130:car,690
other,leisure,1459279:car,260
other,other,527898:car,516
other,shop,1374668:car,475
other,work,1106931:car,726
shop,home,955935:car,708
shop,leisure,311160:car,243
shop,other,2523431:car,474
shop,shop,912298:car,479
shop,work,2110758:car,331
work,home,1889940:car,786
work,leisure,1150696:car,378
work,other,1106931:car,733
work,shop,201623:car,393
