Motif_Orig,Motif_Dest,AgentId_Min,Nombre_Min_Points
education,home,1729693:car,2
education,leisure,2138701:car,10
home,education,1146105:car,1
home,leisure,1061950:car,1
home,other,1057175:car,1
home,shop,135471:car,1
home,work,1264874:car,1
leisure,home,233156:car,1
leisure,leisure,1517507:car,4
leisure,other,264671:car,3
leisure,shop,2168714:car,3
leisure,work,1789622:car,5
other,education,2284200:car,175
other,home,1502869:car,1
other,leisure,330816:car,12
other,other,1178865:car,3
other,shop,969049:car,6
other,work,1834415:car,3
shop,home,1083025:car,2
shop,leisure,620176:car,6
shop,other,1092965:car,2
shop,shop,2535769:car,8
shop,work,2051708:car,2
work,home,1186494:car,2
work,leisure,2028126:car,5
work,other,648719:car,3
work,shop,1703701:car,3
