AgentId,Motif_Orig,Motif_Dest,New_Trip,Nombre_Points
1001108:car,home,leisure,1,9
1001108:car,leisure,home,2,14
1001110:car,home,shop,3,83
1001110:car,home,work,4,158
1001110:car,shop,work,5,86
1001110:car,work,home,6,136
1001110:car,work,home,7,135
1001115:car,home,work,8,111
1001115:car,other,home,9,31
1001115:car,shop,work,10,154
1001115:car,work,other,11,250
1001115:car,work,shop,12,175
1002497:car,home,leisure,13,23
1002497:car,leisure,home,14,49
1002498:car,home,leisure,15,136
1002498:car,home,work,16,357
1002498:car,home,work,17,86
1002498:car,leisure,home,18,136
1002498:car,work,home,19,276
1003486:car,home,other,20,120
1003486:car,other,home,21,132
1003487:car,home,leisure,22,117
1003487:car,leisure,home,23,95
1005424:car,home,work,24,450
1005424:car,home,work,25,355
1005424:car,home,work,26,86
1005424:car,work,home,27,310
1005424:car,work,home,28,293
1006937:car,home,work,29,13
1006937:car,work,home,30,27
1007039:car,home,shop,31,128
1007039:car,shop,home,32,106
1007040:car,home,other,33,89
1007040:car,other,home,34,68
1007906:car,home,work,35,227
1007906:car,home,work,36,167
1007906:car,work,home,37,156
1007906:car,work,home,38,210
1009657:car,home,other,39,108
1009657:car,home,shop,40,47
1009657:car,home,shop,41,125
1009657:car,other,home,42,108
1009657:car,other,home,43,145
1009657:car,shop,home,44,23
1009657:car,shop,other,45,89
1010307:car,home,work,46,310
1010307:car,work,home,47,304
1010308:car,home,other,48,30
1010308:car,home,other,49,297
1010308:car,other,home,50,44
1010308:car,other,home,51,35
1010308:car,other,work,52,319
1010308:car,other,work,53,119
1010308:car,work,other,54,321
1010308:car,work,other,55,67
1010308:car,work,other,56,133
1012884:car,home,work,57,196
1012884:car,other,home,58,45
1012884:car,work,other,59,267
1013486:car,home,leisure,60,261
1013486:car,leisure,home,61,349
1013983:car,home,leisure,62,150
1013983:car,home,shop,63,35
1013983:car,leisure,home,64,94
1013983:car,shop,home,65,43
1014631:car,home,shop,66,53
1014631:car,shop,home,67,143
1014816:car,leisure,home,68,145
1014816:car,leisure,leisure,69,86
101535:car,home,shop,70,54
101535:car,shop,home,71,56
101594:car,home,leisure,72,10
101594:car,leisure,home,73,10
101595:car,home,leisure,74,56
101595:car,leisure,home,75,73
101596:car,home,leisure,76,5
101596:car,home,leisure,77,7
101596:car,leisure,home,78,7
101596:car,leisure,home,79,5
1016629:car,home,shop,80,240
1016629:car,shop,home,81,207
1017077:car,home,other,82,328
1017077:car,other,home,83,427
1017078:car,home,shop,84,35
1017078:car,shop,home,85,42
1017078:car,shop,shop,86,48
1017395:car,home,leisure,87,7
1017395:car,home,leisure,88,8
1017395:car,leisure,home,89,7
1017395:car,leisure,home,90,7
1017545:car,home,work,91,43
1017545:car,home,work,92,44
1017545:car,work,home,93,46
1017545:car,work,home,94,115
1017547:car,home,leisure,95,58
1017547:car,home,other,96,45
1017547:car,leisure,home,97,28
1017547:car,other,home,98,98
1017547:car,other,other,99,170
101910:car,home,other,100,100
101910:car,other,home,101,110
1019931:car,home,work,102,179
1019931:car,home,work,103,185
1019931:car,home,work,104,32
1019931:car,work,home,105,426
1019932:car,home,leisure,106,170
1019932:car,leisure,home,107,162
102077:car,home,shop,108,17
102077:car,shop,home,109,10
102140:car,home,work,110,80
102140:car,home,work,111,64
102140:car,shop,home,112,47
102140:car,work,home,113,80
102140:car,work,shop,114,74
1022825:car,home,work,115,306
1022825:car,home,work,116,11
1022825:car,home,work,117,178
1022825:car,work,home,118,259
1022826:car,home,leisure,119,79
1022826:car,home,shop,120,47
1022826:car,leisure,shop,121,68
1022826:car,shop,home,122,255
1023595:car,home,work,123,4
1023595:car,work,home,124,3
1023596:car,home,leisure,125,26
1023596:car,home,leisure,126,50
1023596:car,home,shop,127,35
1023596:car,leisure,home,128,48
1023596:car,leisure,leisure,129,41
