AgentId,Nombre_Trajets
1001108:car,2
1001110:car,5
1001115:car,5
1002497:car,2
1002498:car,5
1003486:car,2
1003487:car,2
1005424:car,5
1006937:car,2
1007039:car,2
1007040:car,2
1007906:car,4
1009657:car,7
1010307:car,2
1010308:car,9
1012884:car,3
1013486:car,2
1013983:car,4
1014631:car,2
1014816:car,2
101535:car,2
101594:car,2
101595:car,2
101596:car,4
1016629:car,2
1017077:car,2
1017078:car,3
1017395:car,4
1017545:car,4
1017547:car,5
101910:car,2
1019931:car,4
1019932:car,2
102077:car,2
102140:car,5
1022825:car,4
1022826:car,4
1023595:car,2
1023596:car,9
1024296:car,4
1024297:car,11
1024956:car,3
1024958:car,10
1025066:car,5
1025067:car,2
1026845:car,7
1027564:car,5
1027565:car,2
1027641:car,7
1027642:car,2
1030624:car,4
103182:car,2
1031978:car,6
1031981:car,3
1032598:car,7
1033252:car,6
1035347:car,1
1035349:car,7
1035974:car,3
1035975:car,4
1035976:car,4
1036240:car,2
1036241:car,3
1036296:car,2
1036297:car,4
1037175:car,4
1037680:car,6
1037779:car,2
1038243:car,4
1038412:car,4
1039091:car,4
1039093:car,9
1039400:car,2
1040176:car,4
104072:car,8
1041779:car,3
1041780:car,4
1041781:car,2
1042376:car,2
1042377:car,9
10444:car,2
1044634:car,4
1044635:car,6
1044636:car,2
1045961:car,2
1046092:car,2
104659:car,3
1047597:car,2
1047611:car,2
1047612:car,2
104951:car,6
1051004:car,2
1051006:car,10
1051007:car,4
1051169:car,2
105117:car,2
105119:car,4
1051753:car,4
1051754:car,4
1051900:car,2
1052372:car,3
1052373:car,4
1052374:car,2
1052474:car,9
1053582:car,6
1053587:car,3
1054085:car,2
1056233:car,4
1056405:car,6
1057175:car,3
105800:car,4
1060029:car,2
1060955:car,3
1060956:car,2
1061278:car,6
1061279:car,4
1061948:car,6
1061950:car,2
1061951:car,6
1063528:car,2
1063529:car,4
1064303:car,8
1064978:car,3
1064980:car,5
1065272:car,2
1068082:car,2
1068121:car,6
1068310:car,9
1068826:car,8
1068827:car,2
1069663:car,2
1069664:car,1
1069665:car,2
1069667:car,5
1070891:car,4
1070892:car,4
1071096:car,2
1071226:car,2
1071968:car,4
1071969:car,2
