Heure,Motif_Orig,Motif_Dest,Nombre_Trajet
3,home,work,4
4,home,work,13
5,home,work,89
5,home,education,5
6,home,other,39
6,home,leisure,32
6,home,education,109
6,leisure,other,1
6,home,work,301
6,leisure,work,3
6,home,shop,4
6,shop,home,1
6,other,work,1
6,work,home,5
7,leisure,work,19
7,education,home,3
7,shop,home,46
7,home,shop,63
7,leisure,home,12
7,leisure,other,10
7,other,work,57
7,other,other,7
7,home,education,62
7,home,leisure,57
7,other,home,13
7,education,leisure,1
7,work,home,27
7,home,other,191
7,home,work,991
8,other,home,81
8,home,work,1207
8,home,other,338
8,other,work,148
8,home,shop,151
8,shop,home,52
8,leisure,leisure,40
8,home,leisure,185
8,other,other,17
8,leisure,other,12
8,leisure,home,47
8,home,education,17
8,shop,work,7
8,work,home,53
8,work,shop,1
8,shop,shop,7
8,other,shop,18
8,education,leisure,6
8,leisure,shop,7
8,education,home,6
8,shop,leisure,1
8,leisure,work,8
9,other,shop,43
9,work,shop,15
9,home,education,15
9,shop,leisure,3
9,leisure,other,5
9,shop,work,41
9,shop,other,10
9,other,education,1
9,education,home,2
9,work,home,48
9,shop,shop,35
9,shop,home,180
9,home,shop,350
9,leisure,leisure,80
9,other,work,128
9,home,other,299
9,other,home,160
9,home,work,836
9,other,other,23
9,leisure,home,105
9,leisure,shop,38
9,home,leisure,196
9,leisure,work,4
10,leisure,work,3
10,home,shop,506
10,home,work,493
10,other,home,141
10,other,work,85
10,home,leisure,205
10,shop,home,337
10,leisure,home,99
10,home,other,152
10,work,home,75
10,shop,leisure,15
10,shop,shop,36
10,leisure,leisure,31
10,other,shop,31
10,home,education,17
10,shop,work,44
10,education,home,1
10,work,shop,8
10,leisure,other,6
10,leisure,shop,26
10,shop,other,13
10,other,other,22
10,other,education,1
10,other,leisure,5
11,shop,other,6
11,shop,leisure,12
11,other,shop,12
11,leisure,leisure,12
11,work,other,33
11,education,home,23
11,leisure,other,3
11,other,leisure,9
11,work,leisure,21
11,leisure,shop,8
11,other,other,23
11,shop,shop,21
11,work,shop,26
11,home,education,14
11,work,home,237
11,home,other,141
11,education,leisure,2
11,leisure,work,3
11,shop,work,32
11,home,work,312
11,home,shop,271
11,other,work,56
11,home,leisure,220
11,shop,home,392
11,leisure,home,187
11,other,home,161
12,shop,work,36
12,shop,shop,11
12,other,work,48
12,other,other,18
12,work,other,53
12,home,leisure,160
12,shop,home,290
12,home,shop,117
12,home,work,289
12,leisure,home,131
12,work,shop,78
12,work,home,512
12,work,leisure,84
12,leisure,work,13
12,other,home,171
12,home,education,2
12,education,home,15
12,other,shop,6
12,leisure,leisure,28
12,shop,leisure,1
12,leisure,shop,14
12,other,leisure,7
12,education,leisure,3
12,shop,other,2
12,home,other,113
13,shop,shop,9
13,other,shop,11
13,leisure,leisure,16
13,shop,leisure,1
13,education,leisure,1
13,other,leisure,2
13,other,other,4
13,shop,other,1
13,education,home,2
13,leisure,shop,6
13,leisure,work,64
13,home,other,189
13,other,home,115
13,work,leisure,56
13,other,work,55
13,home,shop,119
13,work,other,24
13,work,home,374
13,shop,home,175
13,home,leisure,157
13,leisure,home,85
13,work,shop,37
13,shop,work,36
13,home,work,443
13,home,education,30
14,home,education,28
14,leisure,other,5
14,leisure,leisure,9
14,other,leisure,1
14,other,shop,15
14,work,shop,14
14,shop,shop,29
14,leisure,work,38
14,leisure,shop,14
14,shop,leisure,11
14,other,work,43
14,shop,other,24
14,leisure,home,78
14,other,home,107
14,other,other,23
14,home,other,197
14,shop,home,136
14,home,leisure,224
14,work,other,11
14,home,shop,242
14,home,work,392
14,shop,work,22
14,work,home,277
14,work,leisure,22
15,leisure,shop,24
15,work,shop,8
15,shop,work,14
15,home,education,12
15,shop,shop,49
15,home,leisure,259
15,other,work,38
15,shop,other,46
15,leisure,work,25
15,leisure,other,10
15,shop,leisure,16
15,other,leisure,1
15,education,home,11
15,leisure,home,112
15,work,other,21
15,shop,home,143
15,work,leisure,13
15,home,other,188
15,leisure,leisure,27
15,other,home,80
15,home,work,228
15,other,other,44
15,home,shop,230
15,work,home,281
15,other,shop,50
16,work,home,493
16,shop,other,84
16,home,other,242
16,work,other,48
16,shop,shop,45
16,shop,home,226
16,other,home,244
16,other,other,44
16,home,work,150
16,shop,leisure,13
16,work,leisure,21
16,home,education,4
16,shop,work,17
16,work,shop,49
16,leisure,home,234
16,leisure,work,15
16,other,shop,89
16,home,leisure,223
16,home,shop,140
16,other,work,33
16,leisure,other,46
16,leisure,leisure,59
16,leisure,shop,29
16,education,home,70
17,leisure,work,12
17,education,home,117
17,shop,shop,37
17,leisure,leisure,23
17,leisure,shop,46
17,leisure,home,258
17,work,other,122
17,shop,home,253
17,work,shop,53
17,home,leisure,187
17,home,other,184
17,other,home,397
17,shop,other,81
17,work,home,783
17,shop,leisure,18
17,home,work,117
17,leisure,other,38
17,shop,work,17
17,home,shop,146
17,work,leisure,29
17,other,other,37
17,home,education,2
17,other,shop,33
17,other,leisure,4
17,other,work,15
18,work,shop,55
18,shop,leisure,19
18,work,leisure,29
18,leisure,leisure,27
18,leisure,other,27
18,home,education,4
18,other,shop,31
18,shop,other,65
18,other,leisure,7
18,other,other,27
18,education,leisure,1
18,shop,work,9
18,education,home,51
18,leisure,work,11
18,home,shop,149
18,shop,home,220
18,leisure,home,345
18,work,other,100
18,work,home,894
18,home,work,91
18,other,home,339
18,other,work,12
18,home,leisure,181
18,leisure,shop,36
18,shop,shop,33
18,home,other,155
19,work,other,62
19,other,work,14
19,shop,home,245
19,shop,shop,21
19,home,other,135
19,work,leisure,18
19,work,shop,55
19,home,shop,64
19,leisure,leisure,9
19,home,work,88
19,leisure,other,6
19,other,other,25
19,leisure,home,305
19,shop,other,44
19,work,home,824
19,other,home,295
19,leisure,shop,9
19,leisure,work,6
19,education,leisure,10
19,home,education,7
19,shop,leisure,5
19,other,shop,24
19,education,home,37
19,shop,work,9
19,home,leisure,216
20,other,other,15
20,home,other,81
20,leisure,other,7
20,leisure,leisure,14
20,shop,shop,12
20,work,other,50
20,education,home,19
20,shop,other,29
20,shop,leisure,3
20,home,education,1
20,education,leisure,9
20,leisure,work,1
20,shop,work,7
20,other,shop,12
20,leisure,shop,5
20,work,leisure,6
20,home,shop,33
20,work,shop,23
20,other,home,192
20,leisure,home,189
20,other,work,12
20,work,home,578
20,shop,home,147
20,home,work,68
20,home,leisure,147
21,leisure,leisure,12
21,home,other,73
21,work,shop,16
21,home,shop,41
21,education,home,14
21,work,leisure,5
21,shop,other,21
21,other,shop,5
21,leisure,work,2
21,shop,work,3
21,shop,home,91
21,education,leisure,2
21,other,other,5
21,shop,leisure,2
21,shop,shop,4
21,leisure,other,3
21,work,home,384
21,other,work,10
21,work,other,31
21,other,home,140
21,home,leisure,90
21,leisure,shop,1
21,home,work,50
21,other,leisure,3
21,leisure,home,154
22,other,shop,4
22,other,other,8
22,leisure,work,2
22,education,home,8
22,education,leisure,1
22,other,work,7
22,leisure,shop,1
22,work,leisure,2
22,shop,leisure,1
22,leisure,leisure,6
22,shop,work,4
22,shop,shop,3
22,shop,other,18
22,other,leisure,2
22,work,home,265
22,home,work,32
22,work,other,19
22,leisure,home,144
22,home,other,50
22,other,home,96
22,home,leisure,71
22,shop,home,61
22,home,shop,22
22,work,shop,11
22,leisure,other,6
23,shop,other,10
23,shop,home,39
23,home,shop,11
23,leisure,home,94
23,other,home,74
23,home,other,30
23,work,other,17
23,work,home,188
23,home,work,19
23,home,leisure,41
23,leisure,other,6
23,other,other,7
23,shop,work,4
23,other,shop,5
23,shop,leisure,2
23,work,shop,3
23,leisure,leisure,6
23,work,leisure,2
23,leisure,work,2
23,shop,shop,2
23,leisure,shop,2
23,other,work,6
23,education,leisure,1
23,education,home,4
24,shop,leisure,2
24,leisure,work,2
24,leisure,other,4
24,shop,work,2
24,work,shop,4
24,other,work,6
24,education,home,4
24,leisure,leisure,4
24,leisure,shop,1
24,other,other,7
24,other,shop,6
24,shop,shop,2
24,home,work,12
24,leisure,home,54
24,home,leisure,19
24,work,other,15
24,shop,home,36
24,shop,other,7
24,home,other,19
24,other,home,69
24,home,shop,10
24,work,home,111
25,shop,other,3
25,shop,leisure,1
25,shop,shop,1
25,home,shop,4
25,education,home,1
25,leisure,other,1
25,work,shop,2
25,other,shop,3
25,other,other,4
25,work,other,9
25,other,work,4
25,home,work,6
25,leisure,home,28
25,work,home,62
25,home,other,15
25,other,home,41
25,shop,home,17
25,leisure,leisure,3
25,home,leisure,13
26,other,leisure,1
26,work,shop,1
26,home,shop,1
26,shop,shop,1
26,other,other,1
26,other,shop,3
26,shop,leisure,1
26,leisure,leisure,2
26,leisure,other,2
26,work,other,5
26,leisure,home,13
26,home,work,10
26,work,home,28
26,home,other,25
26,shop,other,5
26,home,leisure,7
26,shop,home,10
26,other,home,47
27,other,work,1
27,other,shop,1
27,home,shop,2
27,home,other,8
27,home,leisure,4
27,shop,home,3
27,leisure,leisure,3
27,leisure,home,4
27,shop,work,13
27,work,home,9
27,shop,other,2
27,home,work,11
27,other,home,28
27,work,other,3
27,leisure,other,4
28,home,leisure,1
28,home,shop,2
28,home,other,2
28,work,home,5
28,work,other,1
28,shop,work,3
28,home,work,3
28,leisure,leisure,1
28,leisure,other,4
28,shop,home,3
28,shop,other,2
28,leisure,home,3
28,work,shop,1
28,other,home,13
29,leisure,home,2
29,shop,home,3
29,home,other,3
29,other,home,7
29,leisure,other,1
29,work,other,1
29,home,leisure,1
29,home,work,1
